"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, что при попытке входа с пустым паролем отображается соответствующее сообщение об ошибке.","408","checkLoginWithEmptyPassword","Surefire suite","Sun Jun 22 21:00:49 GMT 2025","passed","Sun Jun 22 21:00:49 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверяет, что на первом шаге оформления заказа кнопка 'Cancel' возвращает пользователя в корзину.","618","checkCancelButtonCheckoutStepOne","Surefire suite","Sun Jun 22 21:00:30 GMT 2025","passed","Sun Jun 22 21:00:31 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCancelButtonCheckoutStepOne"
"Проверяет, что при нажатии кнопки 'X' в бургер-меню оно закрывается","1588","checkCloseBurgerMenu","Surefire suite","Sun Jun 22 21:01:08 GMT 2025","passed","Sun Jun 22 21:01:10 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkCloseBurgerMenu"
"Проверяет, что после добавления товара в корзину его стоимость отображается корректно","670","checkAddedProductsPrice","Surefire suite","Sun Jun 22 21:00:22 GMT 2025","passed","Sun Jun 22 21:00:23 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkAddedProductsPrice"
"Проверяет, что сумма налога на шаге оформления заказа рассчитывается корректно от общей стоимости товаров","980","checkTaxPrice","Surefire suite","Sun Jun 22 21:00:35 GMT 2025","passed","Sun Jun 22 21:00:36 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkTaxPrice"
"Проверяет, что при попытке входа с неверным именем пользователя отображается соответствующее сообщение об ошибке.","406","checkLoginWithWrongUsername","Surefire suite","Sun Jun 22 21:00:51 GMT 2025","passed","Sun Jun 22 21:00:51 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongUsername"
"Проверяет, что товары, добавленные на странице продуктов, отображаются в корзине","861","checkAddedProducts","Surefire suite","Sun Jun 22 21:00:45 GMT 2025","passed","Sun Jun 22 21:00:46 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","checkAddedProducts"
"Проверяет, что при попытке продолжить оформление заказа с пустыми полями происходит валидация и переход на следующий шаг не выполняется","794","verifyCheckoutWithEmptyFields","Surefire suite","Sun Jun 22 21:00:38 GMT 2025","passed","Sun Jun 22 21:00:39 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifyCheckoutWithEmptyFields"
"Убеждаемся, что кнопка 'Cancel' на втором шаге оформления заказа возвращает пользователя на страницу с товарами.","834","checkCancelButtonCheckoutStepTwo","Surefire suite","Sun Jun 22 21:00:31 GMT 2025","passed","Sun Jun 22 21:00:32 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCancelButtonCheckoutStepTwo"
"Проверяет, что после завершения заказа кнопка 'Back Home' возвращает пользователя на страницу с товарами.","900","checkBackHomeButton","Surefire suite","Sun Jun 22 21:00:29 GMT 2025","passed","Sun Jun 22 21:00:30 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkBackHomeButton"
