"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, что при попытке продолжить оформление заказа с пустым полем 'Postal Code' отображается корректное сообщение об ошибке","726","verifyCheckoutWithEmptyPostalCodeField","Surefire suite","Sun Jun 22 21:06:55 GMT 2025","passed","Sun Jun 22 21:06:55 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifyCheckoutWithEmptyPostalCodeField"
"Убеждаемся, что кнопка 'Cancel' на втором шаге оформления заказа возвращает пользователя на страницу с товарами.","840","checkCancelButtonCheckoutStepTwo","Surefire suite","Sun Jun 22 21:06:45 GMT 2025","passed","Sun Jun 22 21:06:45 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCancelButtonCheckoutStepTwo"
"Проверяет, что при попытке продолжить оформление заказа с пустым полем 'First Name' отображается корректное сообщение об ошибке","758","verifyCheckoutWithEmptyFirstNameField","Surefire suite","Sun Jun 22 21:06:52 GMT 2025","passed","Sun Jun 22 21:06:53 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifyCheckoutWithEmptyFirstNameField"
"Проверяет, что при нажатии на бургер-меню в корзине оно успешно открывается","1006","checkOpenBurgerMenu","Surefire suite","Sun Jun 22 21:07:24 GMT 2025","passed","Sun Jun 22 21:07:25 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkOpenBurgerMenu"
"Проверяет, что сортировка товаров по имени или стоимости работает корректно.","1122","sortProductsCheck","Surefire suite","Sun Jun 22 21:07:00 GMT 2025","passed","Sun Jun 22 21:07:01 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","sortProductsCheck"
"Проверяет, что при попытке входа с неверным паролем отображается соответствующее сообщение об ошибке.","402","checkLoginWithWrongPassword","Surefire suite","Sun Jun 22 21:07:02 GMT 2025","passed","Sun Jun 22 21:07:02 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
"Проверяет, что кнопка 'Finish' на втором шаге оформления заказа завершает процесс и переводит на страницу подтверждения заказа.","828","checkFinishButton","Surefire suite","Sun Jun 22 21:06:46 GMT 2025","passed","Sun Jun 22 21:06:47 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkFinishButton"
"Проверяет, что сумма налога на шаге оформления заказа рассчитывается корректно от общей стоимости товаров","898","checkTaxPrice","Surefire suite","Sun Jun 22 21:06:48 GMT 2025","passed","Sun Jun 22 21:06:49 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkTaxPrice"
"Проверяет, что добавленные товары корректно отображаются в корзине","952","checkAddedProducts","Surefire suite","Sun Jun 22 21:06:34 GMT 2025","passed","Sun Jun 22 21:06:35 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkAddedProducts"
"Проверяет, что при нажатии кнопки 'Logout' в бургер-меню происходит логаут","1078","checkLogoutButtonFromBurgerMenu","Surefire suite","Sun Jun 22 21:07:22 GMT 2025","passed","Sun Jun 22 21:07:23 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkLogoutButtonFromBurgerMenu"
"Проверяет, что после удаления одного из товаров из корзины,количество товаров уменьшается корректно","1934","checkRemoveProducts","Surefire suite","Sun Jun 22 21:06:39 GMT 2025","passed","Sun Jun 22 21:06:41 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProducts"
"Проверяет, что при попытке входа с неверным именем пользователя отображается соответствующее сообщение об ошибке.","413","checkLoginWithWrongUsername","Surefire suite","Sun Jun 22 21:07:03 GMT 2025","passed","Sun Jun 22 21:07:03 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongUsername"
"Проверяет, что кнопка 'Checkout' на странице корзины корректно перенаправляет на шаг оформления заказа","720","verifyCheckoutButton","Surefire suite","Sun Jun 22 21:06:41 GMT 2025","passed","Sun Jun 22 21:06:42 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","verifyCheckoutButton"
"Проверяет корректность расчёта итоговой суммы заказа на этапе оформления покупки, включая товары и налог.","976","checkTotalPrice","Surefire suite","Sun Jun 22 21:06:50 GMT 2025","passed","Sun Jun 22 21:06:51 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkTotalPrice"
"Проверяет, что кнопка 'Add to cart' на странице деталей товара корректно добавляет товар в корзину.","748","checkAddToCartButtonFromDetailsPage","Surefire suite","Sun Jun 22 21:07:04 GMT 2025","passed","Sun Jun 22 21:07:05 GMT 2025","tests.ProductsDetailTest","Surefire test","tests.ProductsDetailTest","checkAddToCartButtonFromDetailsPage"
"Проверяет, что количество товаров, добавленных в корзину, отображается корректно","657","checkNumberAddedProducts","Surefire suite","Sun Jun 22 21:06:38 GMT 2025","passed","Sun Jun 22 21:06:38 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkNumberAddedProducts"
"Проверяет, что страница подробного описания товара успешно открывается и отображает форму с деталями.","553","checkOpenProductDetailPageSuccess","Surefire suite","Sun Jun 22 21:07:07 GMT 2025","passed","Sun Jun 22 21:07:07 GMT 2025","tests.ProductsDetailTest","Surefire test","tests.ProductsDetailTest","checkOpenProductDetailPageSuccess"
"Проверяет, что кнопка 'Continue Shopping' на странице корзины корректно возвращает пользователя на страницу товаров","737","checkContinueShoppingButton","Surefire suite","Sun Jun 22 21:06:37 GMT 2025","passed","Sun Jun 22 21:06:37 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShoppingButton"
"Проверяет, что товары, добавленные на странице продуктов, отображаются в корзине","783","checkAddedProducts","Surefire suite","Sun Jun 22 21:06:57 GMT 2025","passed","Sun Jun 22 21:06:58 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","checkAddedProducts"
"Проверяет, что при нажатии кнопки 'Cart' открывается корзина","511","checkOpenCart","Surefire suite","Sun Jun 22 21:07:25 GMT 2025","passed","Sun Jun 22 21:07:26 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkOpenCart"
"Проверяет, что итоговая сумма стоимости выбранных товаров совпадает с отображаемой на шаге оформления заказа","903","checkProductsTotalPrice","Surefire suite","Sun Jun 22 21:06:47 GMT 2025","passed","Sun Jun 22 21:06:48 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkProductsTotalPrice"
"Проверяет, что товары, удаленные на странице продуктов, не отображаются в корзине","852","checkRemoveProducts","Surefire suite","Sun Jun 22 21:06:58 GMT 2025","passed","Sun Jun 22 21:06:59 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","checkRemoveProducts"
"Проверяет, что при корректном вводе имени, фамилии и почтового индекса пользователь переходит на шаг 'Checkout: Overview'","771","verifySuccessCheckout","Surefire suite","Sun Jun 22 21:06:56 GMT 2025","passed","Sun Jun 22 21:06:57 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifySuccessCheckout"
"Проверяет, что при попытке продолжить оформление заказа с пустым полем 'Last Name' отображается корректное сообщение об ошибке","735","verifyCheckoutWithEmptyLastNameField","Surefire suite","Sun Jun 22 21:06:53 GMT 2025","passed","Sun Jun 22 21:06:54 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifyCheckoutWithEmptyLastNameField"
"Проверяет, что при попытке продолжить оформление заказа с пустыми полями происходит валидация и переход на следующий шаг не выполняется","717","verifyCheckoutWithEmptyFields","Surefire suite","Sun Jun 22 21:06:51 GMT 2025","passed","Sun Jun 22 21:06:52 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifyCheckoutWithEmptyFields"
"Проверяет, что при нажатии кнопки 'X' в бургер-меню оно закрывается","1577","checkCloseBurgerMenu","Surefire suite","Sun Jun 22 21:07:20 GMT 2025","passed","Sun Jun 22 21:07:22 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkCloseBurgerMenu"
"Проверяет, что при корректном вводе имени, и пароля происходит авторизация.","449","checkSuccessLogin","Surefire suite","Sun Jun 22 21:07:03 GMT 2025","passed","Sun Jun 22 21:07:04 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Проверяет, что кнопка 'Back to products' на странице деталей товара возвращает юзера на страницу Products.","627","checkBackToProductsButtonFromDetailsPage","Surefire suite","Sun Jun 22 21:07:05 GMT 2025","passed","Sun Jun 22 21:07:06 GMT 2025","tests.ProductsDetailTest","Surefire test","tests.ProductsDetailTest","checkBackToProductsButtonFromDetailsPage"
"Проверяет, что на первом шаге оформления заказа кнопка 'Cancel' возвращает пользователя в корзину.","594","checkCancelButtonCheckoutStepOne","Surefire suite","Sun Jun 22 21:06:44 GMT 2025","passed","Sun Jun 22 21:06:44 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCancelButtonCheckoutStepOne"
"Проверяет, что при нажатии кнопки All Items' в бургер-меню открывается страница товаров","1071","checkAllItemsButtonFromBurgerMenu","Surefire suite","Sun Jun 22 21:07:19 GMT 2025","passed","Sun Jun 22 21:07:20 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkAllItemsButtonFromBurgerMenu"
"Проверяет, что после завершения заказа кнопка 'Back Home' возвращает пользователя на страницу с товарами.","893","checkBackHomeButton","Surefire suite","Sun Jun 22 21:06:42 GMT 2025","passed","Sun Jun 22 21:06:43 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkBackHomeButton"
"Проверяет, что после добавления товара в корзину его стоимость отображается корректно","667","checkAddedProductsPrice","Surefire suite","Sun Jun 22 21:06:35 GMT 2025","passed","Sun Jun 22 21:06:36 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkAddedProductsPrice"
"Проверяет, что кнопка 'Remove' на странице деталей товара корректно удаляет товар из корзины.","10840","checkRemoveButtonFromDetailsPage","Surefire suite","Sun Jun 22 21:07:07 GMT 2025","passed","Sun Jun 22 21:07:18 GMT 2025","tests.ProductsDetailTest","Surefire test","tests.ProductsDetailTest","checkRemoveButtonFromDetailsPage"
"Проверяет, что при попытке входа с пустым паролем отображается соответствующее сообщение об ошибке.","387","checkLoginWithEmptyPassword","Surefire suite","Sun Jun 22 21:07:01 GMT 2025","passed","Sun Jun 22 21:07:01 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
