"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, что кнопка 'Continue Shopping' на странице корзины корректно возвращает пользователя на страницу товаров","880","checkContinueShoppingButton","Surefire suite","Mon Jun 16 17:46:15 GMT 2025","passed","Mon Jun 16 17:46:16 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShoppingButton"
"Проверяет, что товары, добавленные на странице продуктов, отображаются в корзине","927","checkAddedProducts","Surefire suite","Mon Jun 16 17:46:37 GMT 2025","passed","Mon Jun 16 17:46:38 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","checkAddedProducts"
"Проверяет, что сумма налога на шаге оформления заказа рассчитывается корректно от общей стоимости товаров","1026","checkTaxPrice","Surefire suite","Mon Jun 16 17:46:28 GMT 2025","passed","Mon Jun 16 17:46:29 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkTaxPrice"
"Проверяет, что сортировка товаров по имени или стоимости работает корректно.","1243","sortProductsCheck","Surefire suite","Mon Jun 16 17:46:40 GMT 2025","passed","Mon Jun 16 17:46:41 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","sortProductsCheck"
"Проверяет, что количество товаров, добавленных в корзину, отображается корректно","770","checkNumberAddedProducts","Surefire suite","Mon Jun 16 17:46:16 GMT 2025","passed","Mon Jun 16 17:46:17 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkNumberAddedProducts"
"Проверяет, что кнопка 'Add to cart' на странице деталей товара корректно добавляет товар в корзину.","815","checkAddToCartButtonFromDetailsPage","Surefire suite","Mon Jun 16 17:46:46 GMT 2025","passed","Mon Jun 16 17:46:46 GMT 2025","tests.ProductsDetailTest","Surefire test","tests.ProductsDetailTest","checkAddToCartButtonFromDetailsPage"
"Проверяет, что при попытке входа с пустым паролем отображается соответствующее сообщение об ошибке.","485","checkLoginWithEmptyPassword","Surefire suite","Mon Jun 16 17:46:42 GMT 2025","passed","Mon Jun 16 17:46:42 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверяет, что кнопка 'Remove' на странице деталей товара корректно удаляет товар из корзины.","11015","checkRemoveButtonFromDetailsPage","Surefire suite","Mon Jun 16 17:46:49 GMT 2025","passed","Mon Jun 16 17:47:00 GMT 2025","tests.ProductsDetailTest","Surefire test","tests.ProductsDetailTest","checkRemoveButtonFromDetailsPage"
"Проверяет, что при корректном вводе имени, фамилии и почтового индекса пользователь переходит на шаг 'Checkout: Overview'","863","verifySuccessCheckout","Surefire suite","Mon Jun 16 17:46:36 GMT 2025","passed","Mon Jun 16 17:46:37 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifySuccessCheckout"
"Проверяет, что при нажатии кнопки 'Cart' открывается корзина","592","checkOpenCart","Surefire suite","Mon Jun 16 17:47:07 GMT 2025","passed","Mon Jun 16 17:47:08 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkOpenCart"
"Проверяет, что при корректном вводе имени, и пароля происходит авторизация.","540","checkSuccessLogin","Surefire suite","Mon Jun 16 17:46:45 GMT 2025","passed","Mon Jun 16 17:46:45 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Проверяет, что при нажатии кнопки 'Logout' в бургер-меню происходит логаут","1172","checkLogoutButtonFromBurgerMenu","Surefire suite","Mon Jun 16 17:47:04 GMT 2025","passed","Mon Jun 16 17:47:05 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkLogoutButtonFromBurgerMenu"
"Проверяет, что итоговая сумма стоимости выбранных товаров совпадает с отображаемой на шаге оформления заказа","1022","checkProductsTotalPrice","Surefire suite","Mon Jun 16 17:46:26 GMT 2025","passed","Mon Jun 16 17:46:27 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkProductsTotalPrice"
"Проверяет, что при попытке продолжить оформление заказа с пустым полем 'Last Name' отображается корректное сообщение об ошибке","858","verifyCheckoutWithEmptyLastNameField","Surefire suite","Mon Jun 16 17:46:33 GMT 2025","passed","Mon Jun 16 17:46:34 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifyCheckoutWithEmptyLastNameField"
"Проверяет, что после завершения заказа кнопка 'Back Home' возвращает пользователя на страницу с товарами.","1012","checkBackHomeButton","Surefire suite","Mon Jun 16 17:46:21 GMT 2025","passed","Mon Jun 16 17:46:22 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkBackHomeButton"
"Проверяет, что при нажатии кнопки All Items' в бургер-меню открывается страница товаров","1178","checkAllItemsButtonFromBurgerMenu","Surefire suite","Mon Jun 16 17:47:01 GMT 2025","passed","Mon Jun 16 17:47:02 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkAllItemsButtonFromBurgerMenu"
"Проверяет, что при попытке продолжить оформление заказа с пустым полем 'First Name' отображается корректное сообщение об ошибке","851","verifyCheckoutWithEmptyFirstNameField","Surefire suite","Mon Jun 16 17:46:32 GMT 2025","passed","Mon Jun 16 17:46:33 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifyCheckoutWithEmptyFirstNameField"
